Year,Vertex-C,Edge-C,Diameter,Radius,G-Clustering,Density,AvgPthLen,Assortivity,Min-Cut,Coefficient-Trans,K-Core,Central-P Dominance,Degree_C-A,Betweenness-A,Closeness-A,Eigenvector-A
1998,3233,5773,9,5,0.015202004,0.00110498,3.762404757,-0.053926219,1,0.015202004,1,0.340456161,0.001105,0.000854969,0.273361508,0.007954023
1999,4613,8739,10,5,0.011811675,0.000821522,3.71496491,-0.057170157,1,0.011811675,1,0.38276288,0.000822,0.000588802,0.276562508,0.006530935
2000,6518,12741,9,5,0.009671138,0.00059989,3.700124955,-0.057739875,1,0.009671138,1,0.365468578,0.00059989,0.000414384,0.276901717,0.005384728
2001,9832,21541,9,5,0.013029858,0.000445714,3.600175016,-0.048649963,1,0.013029858,1,0.326065569,0.000445714,0.000264514,0.283761632,0.004365767
2002,12581,27898,10,5,0.012165873,0.000352539,3.599235504,-0.050275569,1,0.012165873,1,0.30821104,0.000352539,0.000206633,0.28376788,0.003845266
2003,14548,32872,10,5,0.014465379,0.000310656,3.64855995,-0.048427173,1,0.014465379,1,0.24387094,0.000310656,0.000182082,0.279799574,0.003348232
2004,16565,38943,10,5,0.02095899,0.000283859,3.709364455,-0.042953179,1,0.02095899,1,0.201008655,0.000283859,0.000163579,0.27508294,0.002395237
2005,18962,48378,10,5,0.031421976,0.000269112,3.7237595,-0.036338368,1,0.031421976,1,0.171964444,0.000269112,0.000143658,0.273933043,0.001831893
2006,21492,55902,10,5,0.033169025,0.00024206,3.749608242,-0.034203127,1,0.033169025,1,0.147115536,0.00024206,0.000127948,0.271829446,0.001644852
2007,24336,64541,10,6,0.03764251,0.000217964,3.795670016,-0.030519282,1,0.03764251,1,0.126478042,0.000217964,0.000114887,0.268401405,0.001424827
2008,27320,75094,10,1,0.039885554,0.000201229,3.77620655,-0.027329934,0,0.039885554,1,0.148735716,0.000201229,0.000101611,0.269606448,0.001300008
2009,30742,86711,11,6,0.03933445,0.000183508,3.790725176,-0.025509367,1,0.03933445,1,0.136835073,0.000183508,9.08E-05,0.268456797,0.001207256
2010,33486,94797,10,6,0.039427441,0.000169087,3.818886796,-0.025396943,1,0.039427441,1,0.150225571,0.000169087,8.42E-05,0.266345797,0.001131804
2011,36625,105495,11,6,0.035423965,0.000157296,3.838574888,-0.024207218,1,0.035423965,1,0.146548741,0.000157296,7.75E-05,0.265053666,0.001097915
2012,40109,123723,11,6,0.04016943,0.000153818,3.830895845,-0.020719591,1,0.04016943,1,0.142451698,0.000153818,7.06E-05,0.265607788,0.001013734
2013,43274,140532,11,6,0.045866924,0.000150093,3.826516501,-0.018109005,1,0.045866924,1,0.126263815,0.000150093,6.53E-05,0.265886881,0.000945957
2014,45636,167005,12,6,0.048943827,0.000160381,3.77330905,-0.014081741,1,0.048944079,1,0.124687698,0.000160379,6.08E-05,0.269741115,0.000929402
2015,46318,187697,10,5,0.05591661,0.000174984,3.726118906,-0.011459996,1,0.057176482,1,0.165969199,0.000172749,5.89E-05,0.273185173,0.000950755
2016,52985,220761,11,6,0.053940521,0.000157273,3.774031851,-0.010566887,1,0.054722853,1,0.142965495,0.000155559,5.24E-05,0.269747466,0.000857185
2017,56495,252748,11,6,0.048567375,0.000158382,3.739331574,-0.009350478,1,0.05180463,1,0.234374623,0.000156107,4.85E-05,0.272385026,0.00086722
2018,60180,276986,13,7,0.045869288,0.000152965,3.747382579,-0.008863317,1,0.048860839,1,0.231130818,0.000150365,4.57E-05,0.2719134,0.000860884
2019,63650,333989,13,7,0.061552209,0.000164882,3.733576072,-0.006423887,1,0.064411013,1,0.211091673,0.000163053,4.29E-05,0.272847348,0.000785518
2020,67490,374516,13,7,0.058629074,0.000164448,3.746064528,-0.005670493,1,0.061442104,1,0.185585594,0.000162561,4.07E-05,0.272135901,0.000818441
2021,71141,372687,13,7,0.053617795,0.000147279,3.722996673,-0.006218727,1,0.05686113,1,0.181160012,0.000145179,3.83E-05,0.273883746,0.000787038
2022,73551,393940,12,6,0.056897405,0.000145643,3.706351068,-0.005932911,1,0.059895346,1,0.181082698,0.000144113,3.68E-05,0.274998927,0.000761872
,,,,,,,,,,,,,,,,
