ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
4,2.42e-6,0.268426897,0.000265568,0.000109814,25
14,0.0000111746,0.289050431,0.000568395,0.000146418,21
18,1.37e-6,0.237578383,0.0000110298,0.000109814,12
24,6.11e-6,0.295718539,0.001522244,0.000366046,25
26,2.92e-6,0.250263392,0.0000560328,0.000146418,21
31,0.0,0.244438678,0.0000649183,0.0000732091,25
32,8.45e-6,0.303272865,0.001237883,0.000183023,26
33,2.58e-8,0.303657181,0.004489876,0.000329441,2
34,2.55e-8,0.302132413,0.001145687,0.000109814,2
35,0.0000366005,0.280681024,0.000235256,0.0000732091,2
38,9.56e-6,0.281369095,0.000466367,0.000219627,23
42,0.000760528,0.341377156,0.043211954,0.003221201,6
46,0.0000196365,0.295401951,0.000443576,0.000109814,2
47,1.36e-7,0.245904148,0.0000847734,0.000109814,25
55,5.71e-6,0.318016718,0.001980853,0.000109814,2
57,0.001141029,0.306594985,0.001260086,0.000878509,22
64,0.0000366005,0.280681024,0.000235256,0.0000732091,2
68,2.01e-9,0.278756276,0.000247314,0.000109814,2
70,2.38e-6,0.30346153,0.000871918,0.000109814,3
71,0.000261074,0.315518954,0.001459132,0.000439255,27
74,3.6e-7,0.233860405,0.0000186221,0.0000732091,7
80,0.000223767,0.300553422,0.000573549,0.000219627,3
81,0.000485644,0.324041233,0.002633228,0.000695487,21
88,8.05e-7,0.26069571,0.000152278,0.000109814,4
100,0.0000257014,0.250316137,0.0000324049,0.00040265,17
101,0.001284473,0.337977111,0.005963019,0.001317764,24
102,3.43e-6,0.302252761,0.000682482,0.000109814,2
103,0.0000238252,0.301272719,0.001000694,0.000219627,23
109,0.000348969,0.331923839,0.003071894,0.000585673,15
112,0.000349238,0.313128303,0.01067133,0.001207951,27
127,1.15e-6,0.266520318,0.000133427,0.000109814,25
132,1.19e-6,0.241867507,0.0000209939,0.0000732091,23
137,0.000209974,0.331512967,0.007324528,0.000658882,24
145,1.26e-6,0.240795099,0.0000113245,0.000109814,22
151,0.000149195,0.304595074,0.001606517,0.000475859,15
159,0.0,0.235037514,0.0000180642,0.0000732091,21
160,7.86e-6,0.281772515,0.000299207,0.000146418,23
173,0.0000966473,0.306636284,0.000911402,0.000183023,16
174,0.103037964,0.432532143,0.133999725,0.068230902,1
194,2.4e-7,0.238301696,0.0000227333,0.000146418,21
195,0.00019083,0.279680973,0.000340658,0.000292836,26
206,0.0000334262,0.306522739,0.00095729,0.000183023,2
209,0.058696931,0.390187116,0.028039523,0.048720671,1
210,0.000183984,0.311642234,0.001563228,0.000329441,20
224,4.83e-8,0.278540256,0.00127995,0.000183023,25
226,0.000484262,0.32322073,0.00756989,0.000951719,24
227,2.15e-9,0.230864145,9.59e-6,0.0000732091,18
237,0.000580442,0.325213996,0.008664818,0.001134741,22
250,1.1e-6,0.276941949,0.003186644,0.000256232,7
270,0.0000732051,0.265030901,0.0000696733,0.000146418,21
271,0.0000764167,0.285247374,0.001356439,0.000366046,21
