ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,2.11E-06,0.272186634,9.72797E-05,0,0.000203943
5467,6.1473E-05,0.332891289,0.004617941,0,0.000448674
8641,0.001350077,0.3546048,0.017545034,0,0.003086336
11537,0.000413594,0.307777931,0.001198345,0,0.001808294
28618,5.97E-06,0.334287792,0.002973615,0,0.000271924
51705,2.80E-07,0.28910368,0.000241364,0,5.43848E-05
269841,1.26E-06,0.266430484,3.66588E-05,0,5.43848E-05
2,6.24878E-05,0.309023226,0.000165001,0,0.000271924
21954,1.04E-06,0.269003025,1.84634E-05,0,4.07886E-05
24556,3.10E-07,0.263581338,1.41034E-05,0,4.07886E-05
59445,1.96E-07,0.286200134,0.000319722,0,8.15772E-05
137704,2.72248E-05,0.258895006,1.15677E-05,0,6.7981E-05
394717,8.89E-07,0.301364026,0.00015159,0,2.71924E-05
3,0.000293283,0.345784067,0.001465821,0,0.000380693
293,0.001208256,0.359916419,0.010252271,0,0.004133243
6939,0.181117033,0.477095523,0.169399118,0,0.135744392
4,3.29802E-05,0.302962899,0.000172091,0,0.000122366
137444,0,0.232519174,4.57E-07,0,1.35962E-05
5,9.47E-06,0.263671105,4.29E-06,0,9.51734E-05
270904,1.40E-08,0.231828784,6.67E-07,0,4.07886E-05
6,1.8856E-05,0.308359886,0.000169189,0,6.7981E-05
64031,0,0.241333486,8.05E-07,0,2.71924E-05
8,1.74E-06,0.288048438,0.000110199,0,0.000122366
9,3.48637E-05,0.329088664,0.00039811,0,0.000149558
35104,0.000669856,0.338374056,0.004902526,0,0.001046907
328075,4.42E-08,0.284030569,0.000139222,0,4.07886E-05
10,6.03E-07,0.267539185,7.18946E-05,0,5.43848E-05
131401,2.23E-08,0.273123598,0.000142166,0,4.07886E-05
12,3.09181E-05,0.316455696,0.000323873,0,9.51734E-05
54965,0,0.240385401,8.60E-07,0,1.35962E-05
394666,5.36E-07,0.286529044,9.15688E-05,0,4.07886E-05
16,2.80326E-05,0.265301264,3.52428E-05,0,6.7981E-05
49110,0,0.209826918,9.75E-08,0,2.71924E-05
18,7.64E-06,0.30213404,0.000155505,0,4.07886E-05
276,2.27E-06,0.247769068,1.95E-06,0,0.000176751
24,8.16E-06,0.324850273,0.000564147,0,0.000122366
2153,2.81114E-05,0.283017416,0.000196732,0,0.00057104
7575,0.003864155,0.37664253,0.029796983,0,0.016560163
10343,0,0.250422194,4.78E-06,0,2.71924E-05
22388,3.46E-07,0.274104827,0.000110486,0,0.000149558
33,3.08941E-05,0.268765142,1.57457E-05,0,4.07886E-05
13979,0.000177287,0.222805195,5.09E-07,0,0.000217539
54680,4.21E-09,0.211833897,8.36E-08,0,2.71924E-05
34,4.15E-06,0.301713883,0.000153892,0,6.7981E-05
35,2.71924E-05,0.307175075,0.000145816,0,2.71924E-05
5691,0,0.234992284,3.87E-07,0,1.35962E-05
42,0.000567217,0.376005194,0.030329314,0,0.005016995
187,0,0.273259572,8.05594E-05,0,1.35962E-05
513,9.13232E-05,0.341137837,0.004391292,0,0.001468389
553,0.000634787,0.385072486,0.037812303,0,0.00621346
559,0.001080208,0.397219732,0.068738304,0,0.018953093
680,0.000496622,0.358413333,0.012640859,0,0.002420122
701,0.018029332,0.370342397,0.006867796,0,0.019496941
715,2.72504E-05,0.294534591,0.000217707,0,9.51734E-05
852,0.00259156,0.366011446,0.008499942,0,0.004024473
1103,0.000779364,0.376199439,0.041013107,0,0.007668253
1140,9.59238E-05,0.365692977,0.029695568,0,0.004717879
1239,0.007746626,0.40900421,0.069981831,0,0.022528892
1267,0.002185429,0.392438293,0.064701516,0,0.017743032
1273,0.002490127,0.374149833,0.011579728,0,0.004282801
1280,9.77425E-05,0.350238095,0.006525962,0,0.001685928
1403,0.000110679,0.34996812,0.007229732,0,0.003344663
1764,0.002310259,0.3876541,0.049101611,0,0.012440517
1798,0.000249137,0.359761496,0.010886151,0,0.004921822
1828,0.02024615,0.423372706,0.077933568,0,0.043113528
1916,0.004672031,0.364641432,0.013651488,0,0.013011557
2152,0.001956005,0.345787318,0.002817801,0,0.00182189
2381,0.000635599,0.347020717,0.007559981,0,0.002923182
2497,0.002277877,0.381325176,0.010283018,0,0.004772264
2603,0.001723382,0.376064793,0.02742869,0,0.006961251
2613,2.80241E-05,0.3406228,0.009229628,0,0.001305235
2895,0.00020608,0.344083909,0.014734876,0,0.007817811
3130,7.50971E-05,0.342540716,0.010619433,0,0.004174031
3170,0.000131356,0.368302454,0.024808603,0,0.003589395
3214,0.00030868,0.382024339,0.04733224,0,0.008511217
3257,0.022262908,0.405267653,0.034031738,0,0.028987084
